Commit key of Architectural Topic I;Months since start project;Commit key of Architectural Topic II;Months since start project;Commit key of Architectural Topic III;Months since start project;Commit key of Architectural Topic IV;Months since start project;Commit key of Architectural Topic V;Months since start project;Commit key of Architectural Topic VI;Months since start project;Commit key of Architectural Topic VII;Months since start project;Commit key of Architectural Topic VIII;Months since start project;Commit key of Architectural Topic IX;Months since start project;Commit key of Architectural Topic X;Months since start project;Commit key of Architectural Topic XI;Months since start project;Commit key of Architectural Topic XII;Months since start project;Commit key of Architectural Topic XIII;Months since start project;Commit key of Architectural Topic XIV;Months since start project;Commit key of Architectural Topic XV;Months since start project
a305e57fe2278563b641414a484cf19015fa1c41;194;8e202ac693ba97805594a88abcdb4f0b898b640e;134;c6ae48ccb5e809057a2d83888ad9181b2e5bc0ce;168;66d010f7af2d7a63c111d2d62a62ce489791a370;181;eaffd50adfd7fcbeafadb0248904176808b4499d;205;ee929ed038c4530b136475c51839735ff88bc212;199;ef2163321f3572ef476eb6888de75ae460e0bc76;198;225c69ad473d94400ddc9a4d233da9744622cc51;200;ddd2b3290d5d7cef9abfba7ce5e15b6c801d531c;219;b93c97454b36b5498e9abcec6beb1daf8839e3d7;170;619143f0e71911d44fb0c4f1511cf48795becd90;198;4d044bb0b80d0f4fe1392e8bf8e331176d61917b;171;2073ebd052a75cfadcd924a4824795968cd568a6;226;78a3eef12c3befc54379d39104e0cc05c588ad8d;153;d4a5cb235103c2356092afbf4121cdc9addf1311;146
d57beaf0fd505db7bb78a10b78905622ee98aba7;151;Average Time;NA;20dd13470c8ce0bd1667ba16e916d928dd2e5460;162;de810a2b48c04617a58eb3eb52ad76fb599ff10e;178;6c2cb05c4f21a2dbe8d2b6f99630230bdf2b3fd0;159;6241ec6f40881ec3a8f3ef4541d6d6953024a174;199;8791daf6c46e57c3760a564a7dfbe85513aba522;197;ef3de4a99c3af0557f51afe61e30addb592f2d4a;196;d2a27ef497d46598000b395b1102467d25c83639;164;300db10138cf5976c8360c1cae6bb5839db16f6f;161;1dfe8173ba666c41375878c5e67d69d2cd658a52;192;7667b5ede3469fbe39d0bdfe263aa161e51b8166;143;3a6edd8d183140da3ea042f91933b6d4756d5f7e;199;Average Time;NA;3e19dd7346d8f47289b9d82b4864a5d23f1d4e02;143
61162ed77e08a5e7758ae7b47d01f441ce12bf38;140;;;79aaf350017312a6d044e2e575f38242fdbdda52;162;943f69d3e9c0257b7e0017aa308ef0a3fb7a1ee6;161;a435500435d0f5acdbe46eab1aeec9b60b3df9e2;155;c5f36b67f4d3a98fe93dcbef7fb3361248e69b1b;181;6e3827c37add0cb92cd5a05319911a0d175c1228;197;8d99f863724c6fe76d008da4455fa177af2ee3ee;192;e1fd28014783dee52ff32f0813d7a62023c23ad3;156;a2dbee67f87c10c520ffeab39d991285e3834d36;160;a43057985ce95d043608a5a74555fbb7e6f5ed20;178;12cc50de3b7b284ee2751413cd2f5587ff59a435;130;183e59b8e9fe938c209493aa7aa98382ccd08e71;193;;;3a00f7d5174855613f0db1e0f374a4cd842cfd40;137
bd84e4019831354f2077c4b56fb5819a0e4077ec;137;;;a528183c2eb781575097299613929d7aef0c42b2;158;4b05d520ec8923b3abc17cdbef8e1d09e57de636;150;0f2bd07a131d4c5269998d84f2aceac6184dd541;151;b62550575601070b59499f59d7288e9d3527aac2;172;21d139b7382256fdd62933f61987903779f63010;186;ef269fdee33113354776693089c26f73093658a5;185;332fb1da96d2d2c864cf43bafb9eed7db497a548;155;2ea8797a918e93469a8b4f2d1d83128ff89cab42;155;4a1e32abdd591d63cd1da7830a71b025fb69dc3f;173;Average Time;20,5;aabebcbfeaf1a88e17e5a6ed3c009ab39274152d;191;;;0a2ecd57e3acdb5b5a5a89c3d603350b24f273de;132
e5d0cf4292448dd3d200e7a4a6b13c656589bad5;114;;;4e892485cbe24fd960b73d80d6cd22c534e20701;156;714333af2e8bc34c93920799326a1d58a04036d1;144;2730ad06c91ef479d4c74070b052f34e4981f7c6;148;8ce0b813939f5c799e0c5e06e181985a3a0b4674;172;c2eb8c4225e2d7b6394e7f1c4a805f1f27763430;174;886014f477ebddaf7a4e66d795a85ecab7bad617;184;d9a0cacfbb96c2eb0ec37b1c3dbbb413b2791652;135;81c328cc4342325eb2ff719e963a5306500982e2;153;8893ac7c966972f60c34d030db476b5187392820;170;;;be5ca0c8406d82af0cfb8f8a250410399873b76d;187;;;79bd269f7a45679e4b052f267eed2a863e1bcd11;127
c63b2096880523d7a80253ec82af5ca69bf954c0;112;;;7878da4d2b5d9ec4cda87242074928f8a6afac56;152;300e004526da56324fbb4bac20f16fc9e0aaf88e;135;5d943d218fb769dd9e3643a65b1f56982e1df39b;131;d3c71ed4762efb3f95f679f5f81a54ec209b01be;162;8ab7a522f65e0bb9d33b75a51e3d85613ea2abba;174;53e822d349012f2bae17f5df95427b9f503ea709;178;97e7445695ac1f156ea5b6640191bd242d643b9d;135;282c024f287daa4fe7e23f977d1a2c8860df55ec;150;d381069cd67459c41826f0ca0ec69f41daada162;167;;;d69c07afe7b79f326cb53214705a1da4b51f67ae;186;;;73813899486c4c4f25bfb711e3e37f017be19594;126
Average Time;16,4;;;db5447c0a2600306542eb764984ebf59e64ca08d;152;62d0e0ac7fe389c91f959ed1e1a585ffa4b7cfad;125;Average Time;43,8;b72f394adc05fead42c53062a451834f58c5fb3c;150;a40ac815b158467f61640a906a88b51ec8ed7e58;173;fc923ff98a3d0aaf0fb57ca480ba022e2978c2ac;173;bb896a1e4390f9972800f637b3669632c5499db8;129;4041c3f4c64aab2425bf9ab035bc4e4f466c6481;146;71f9f3dec42c21d9d462483d653bd86c06e935d9;166;;;35a35ebc80a5a21a6e7c0d936bf79bf2ac187dd9;179;;;b7e04ff2e20db5e346ad44c35dbcc325bd3d9802;114
;;;;97a7e1386803e74727db43f1c99cb4aaf23ab2e8;138;Average Time;9,33333333333333;;;a83734ff2da3aca17b69b3ac58a44833397db4b2;148;bf3064cb42f51370f343a61041ac28f7cf81e3d7;169;62a05a00a5cf6672fa6b85b450b18a05dd2ed7a8;171;2da16a1bc52088a8dc61dadaa51f2a993445809d;129;24edd42be59608e7839848448f8bafb5c6c1d898;146;3b47b2de55e77c987855db5ac7f27cae9442d2be;164;;;1c5daeb5635c1b3d58d1a8666aba972dee6e9edd;174;;;Average Time;5,33333333333333
;;;;904bc4e1bbcecfb03d403e78290c80162798bc04;138;;;;;0ba7b04d006d412524ca7af0604f84c04a921a79;145;cb9e7b1beb31169d23dbad15717cc34b561870e8;168;bf0d1446f7a279516c63d715c7afa54b1d755ccc;171;b2dd0014d8db0a98f64fbd7787d1824370557a45;126;e68b01a803728fe6139b4aaf9c46f3c9674aba43;132;35386117c0d35c1f9f1d787a46a3d4dcde5ef160;163;;;ae408262e7adc06aad5685b7566e0a1e3b9efcbb;161;;;;
;;;;943ea333bc7c9e9cc3b49e5b8365af6d45160d1f;136;;;;;89ec3e291322a313b8ab88abdcc65bb347f965ab;142;18de1f67dec3a55bfb9690930fac55996c99252f;168;a651984be97932adbe3e67fee2d7c6eff40b060f;170;c12801788d81ed15e6906f02da90499c8bae705b;126;dbd8b930e272e4e69df791a56f9e81cd721c9ad6;126;84878fd07c7f5c7806e44cf990e501db295908d5;163;;;7db2358c588827d2c359fcb96d5fe9dd160694d3;159;;;;
