Keyword;Judge A;Judge B;Judge C;Judge D;Judge E
aadlboolean;0;0;0;0;0
aadlinteger;0;0;0;0;0
aadlreal;0;0;0;0;0
aadlstring;0;1;0;0;0
abstraction;0;0;1;0;1
access;0;0;1;0;0
access control;1;0;0;1;1
accuracy;0;0;0;1;1
action_declaration;0;0;0;0;0
action_part;0;0;0;0;0
activation latency;0;0;0;0;0
active specification;0;0;0;0;0
actual_parameter;0;0;0;0;0
actual_parameter_list;0;0;0;0;0
adaptability;0;1;1;1;1
adequacy;0;0;0;1;0
aesthetics;0;0;0;0;0
all;0;0;0;0;0
allocated-to;0;0;0;0;0
allocation;0;0;0;0;0
allowed-to-use;1;0;1;0;1
analysis;0;0;0;0;0
analyzability;0;1;0;1;1
and;0;0;0;0;0
annex;0;0;0;0;0
application protocol interface;0;1;0;0;0
applies;0;0;0;0;0
architectural style;1;1;1;0;1
architecture;1;1;1;1;1
area;0;0;0;0;0
assert;0;0;0;1;0
attachments;0;0;0;1;1
attractiveness;0;0;0;1;1
authentication;0;0;0;1;1
availability;0;0;0;1;1
basic_pattern_list;0;0;0;0;0
basic_function_pattern;0;1;0;1;0
basic_pattern;0;0;0;0;0
behavior;0;0;0;1;1
binary_pattern;0;0;0;0;0
bind;0;1;0;1;1
binding;0;0;0;1;1
boolean;0;0;0;0;0
bus;0;0;0;1;0
calls;0;0;1;1;1
can access;0;0;1;0;1
can not access;0;0;1;0;1
capabilities;0;0;0;0;0
capacity;0;0;0;1;1
category;0;0;0;1;0
changeability;0;1;1;1;1
channel;0;0;0;0;1
clarity;0;0;0;1;1
classifier;0;0;0;1;0
client-server;1;1;1;1;1
co-existence;0;0;0;1;1
code generation;0;0;0;0;0
cohesiveness;0;1;0;1;1
collection-members;0;0;0;0;0
communication;0;0;0;0;0
compatibility;0;1;0;1;1
complete;0;0;0;0;0
completely fulfilled customers;0;0;0;0;0
completeness;0;0;0;1;1
complexity;0;1;0;0;1
compliance;0;0;0;0;0
components;1;1;1;1;1
component_generation;0;1;0;1;0
composite;0;1;1;0;1
compositionality;0;0;1;1;0
conceptual;0;0;0;0;0
